code,system
2BM3.11,readv2
F591.13,readv2
F591z00,readv2
2BM3.00,readv2
2BL3.00,readv2
F591211,readv2
2BL2.00,readv2
2BM4.00,readv2
1C13200,readv2
F591500,readv2
1C13.00,readv2
SJ15.12,readv2
F59z.00,readv2
F59..11,readv2
1C13.11,readv2
2BL5.00,readv2
ZE87.11,readv2
2BL..11,readv2
F59z.11,readv2
2BL4.00,readv2
A560200,readv2
F596.00,readv2
F590300,readv2
F590.00,readv2
2BM2.00,readv2
F590200,readv2
F590100,readv2
F590400,readv2
2BM2.11,readv2
F590.11,readv2
F590z00,readv2
ZV45N00,readv2
7311A00,readv2
ZV41200,readv2
1C17.00,readv2
ZE7..00,readv2
Z911.00,readv2
Z911500,readv2
Z8B5500,readv2
Z8B5311,readv2
8D23.00,readv2
2DG..00,readv2
Z911100,readv2
ZE87.19,readv2
1C16.00,readv2
ZE87.13,readv2
Z8B5200,readv2
ZV53200,readv2
F591100,readv2
ZE87.17,readv2
F591300,readv2
1C19.00,readv2
8D21.00,readv2
Z8B5300,readv2
H91.0,readv2
F5A..00,readv2
ZE87.15,readv2
ZE87.18,readv2
F592000,readv2
F590600,readv2
F591700,readv2
H90.7,readv2
H90.1,readv2
H90.4,readv2
F59..00,readv2
ZE87.00,readv2
ZE87.16,readv2
FyuU100,readv2
F591000,readv2
F590000,readv2
F59y.00,readv2
H90.5,readv2
H90.2,readv2
H91.9,readv2
H91.8,readv2
H90.8,readv2
F592.11,readv2
F592.00,readv2
F592100,readv2
F590500,readv2
1C13100,readv2
F591600,readv2
1C13300,readv2
H90.0,readv2
H90.6,readv2
H90.3,readv2
F591400,readv2
F593.00,readv2
F591.00,readv2
F591200,readv2
H90,readv2
F581211,readv2
1C18.00,readv2
F581200,readv2
F594.00,readv2
F595.00,readv2
F591.12,readv2
F591.11,readv2
F590y00,readv2
F591y00,readv2
F580100,readv2
FyuU000,readv2
H91.3,readv2
Z9E8100,readv2
8D2..12,readv2
P40z.11,readv2
P40..00,readv2
F582.00,readv2
H91.2,readv2
H91,readv2
H91.1,readv2